﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:65EKVVfdj4YmTaYBZrdFAC","Bette Davis Eyes","Kim Carnes","Take Me Home Tonight","1","9","218453","spotify:user:12478133","2016-09-28T03:29:30Z"
"spotify:track:6Il1ZKl4wRFMn5oWsUgmkK","Safety Dance","Men Without Hats","Take Me Home Tonight","1","11","271400","spotify:user:12478133","2016-09-28T03:29:35Z"
"spotify:track:1oxO4x680qvy6C5UJeSqx8","Come On Eileen","Dexys Midnight Runners","Take Me Home Tonight","1","13","243933","spotify:user:12478133","2016-09-28T03:29:52Z"
"spotify:track:3OJ6QCUzYNb3MAB07mUEBE","Let My Love Open The Door - E. Cola Mix","Pete Townshend","Take Me Home Tonight","1","16","288760","spotify:user:12478133","2016-09-28T03:30:31Z"
"spotify:track:1fZasbaEfFWhbJBkzUnWTq","Live Is Life","Opus","Take Me Home Tonight","1","18","244666","spotify:user:12478133","2016-09-28T03:30:57Z"
"spotify:track:3L7RtEcu1Hw3OXrpnthngx","Don't You Want Me - 2002 - Remaster","The Human League","Dare!","1","10","236920","spotify:user:12478133","2016-09-28T03:31:57Z"
"spotify:track:7qQnBfwXrw2tZNFG4Uf57N","Livin' On A Prayer","Bon Jovi","Bon Jovi Greatest Hits","1","1","250626","spotify:user:12478133","2016-09-28T03:32:32Z"
"spotify:track:2kR3B09M6KeJnchOkxwszt","Summertime Girls - Studio Version","Y&T","Best Of '81 To '85","1","12","209066","spotify:user:12478133","2016-09-28T03:33:20Z"
"spotify:track:29pzjF6ZkzcW3ofgOVbF0t","Here I Go Again","White Snake","Saints & Sinners","1","6","308800","spotify:user:12478133","2016-09-28T03:33:35Z"
"spotify:track:473dVAB97y06dfl6OBb1uj","Talk Dirty to Me - 2006 - Remaster","Poison","Double Dose: Ultimate Hits","1","2","224960","spotify:user:12478133","2016-09-28T03:34:00Z"
"spotify:track:11IzgLRXV7Cgek3tEgGgjw","Under Pressure","David Bowie, Queen","Hot Space (Deluxe Remastered Version)","1","11","248440","spotify:user:12478133","2016-09-28T03:35:35Z"
"spotify:track:6cnd6UwOyvEPWUjuuDKMIP","Summer Of '69","Byran Adams","Reckless","1","6","216426","spotify:user:12478133","2016-09-28T03:35:43Z"
"spotify:track:2olVm1lHicpveMAo4AUDRB","The Power Of Love - 2006 Digital Remaster","Huey Lewis & The News","Greatest Hits: Huey Lewis And The News","1","3","234333","spotify:user:12478133","2016-09-28T03:36:03Z"
"spotify:track:54HWkXBa3O7jH4vletYhc6","Dancing With Myself - 2001 Digital Remaster","Billy Idol, Generation X","Billy Idol","1","10","196906","spotify:user:12478133","2016-09-28T03:36:16Z"
"spotify:track:7HKxTNVlkHsfMLhigmhC0I","Call Me - Digitally Remastered 98","Blondie","Call Me (Digital EP)","1","1","212226","spotify:user:12478133","2016-09-28T03:36:36Z"
"spotify:track:2ZBalNGwjqdKJd29O76wBV","Heat Of The Moment","Asia","Asia","1","1","227626","spotify:user:12478133","2016-09-28T03:36:47Z"
"spotify:track:0Ohb2OGQiYWNVPSMprmBtM","The Heat Is On - From "Beverly Hills Cop" Soundtrack","Glenn Frey","Solo Collection","1","8","225506","spotify:user:12478133","2016-09-28T03:37:15Z"
"spotify:track:0PTo8phNKBaJZEminST2qv","Jack & Diane","John Mellencamp","Best Of/20th/Eco","1","10","258000","spotify:user:12478133","2016-09-28T03:38:15Z"
"spotify:track:4uOKFydzAejjSFqYbv1XPt","Red Red Wine - Edit","UB40","The Very Best Of","1","5","183733","spotify:user:12478133","2016-09-28T03:38:26Z"
"spotify:track:4bHsxqR3GMrXTxEPLuK5ue","Don't Stop Believin'","Journey","Escape","1","1","250986","spotify:user:12478133","2016-09-28T03:38:39Z"
"spotify:track:5NLuC70kZQv8q34QyQa1DP","Fight For Your Right","Beastie Boys","Licensed To Ill","1","7","207400","spotify:user:12478133","2016-09-28T03:38:48Z"
"spotify:track:1CtKHwDqsH3ctcCCI18N0g","Everybody Needs Somebody To Love","The Blues Brothers","The Blues Brothers: Original Soundtrack Recording","1","5","203453","spotify:user:12478133","2016-09-28T03:40:04Z"
"spotify:track:4zXvB4MoQD8onk0NCZbeHG","Home Sweet Home","Motley Crue","Theatre of Pain","1","5","240933","spotify:user:12478133","2016-09-28T03:41:23Z"
"spotify:track:3G7tRC24Uh09Hmp1KZ7LQ2","I'm a Believer","The Monkees","More Of The Monkees (Deluxe Edition)","1","12","167373","spotify:user:12478133","2016-09-28T03:41:57Z"
"spotify:track:45s88Xopo6KvHc0PQ05aGg","My Generation","The Who","The Who Sings My Generation","1","6","198866","spotify:user:12478133","2016-09-28T03:42:24Z"
"spotify:track:77oU2rjC5XbjQfNe3bD6so","Beast Of Burden - Remastered","The Rolling Stones","Some Girls","1","9","265173","spotify:user:12478133","2016-09-28T03:42:50Z"
"spotify:track:3CSpzkoL1XgDBZ1q9aDCUV","Uptown Girl","Billy Joel","The Essential Billy Joel","2","3","194866","spotify:user:12478133","2016-09-28T03:43:17Z"
"spotify:track:4qB3RW5ZifZpAHNXAn3JSf","You May Be Right","Billy Joel","The Essential Billy Joel","1","15","251240","spotify:user:12478133","2016-09-28T03:44:19Z"
"spotify:track:391TUcoPonqYykPkSZ5Z9U","Save The Last Dance For Me","The Drifters","Save The Last Dance For Me","1","1","154960","spotify:user:12478133","2016-09-28T03:44:48Z"
"spotify:track:3yrSvpt2l1xhsV9Em88Pul","Brown Eyed Girl","Van Morrison","Blowin' Your Mind!","1","1","183306","spotify:user:12478133","2016-09-28T03:45:12Z"
"spotify:track:7rPsF218CASDaDEoMkEe03","Sweet Thing - 2015 Remastered","Van Morrison","Astral Weeks (Expanded Edition)","1","3","262253","spotify:user:12478133","2016-09-28T03:47:55Z"
"spotify:track:2hjAc6x8EoSLhGxRNg8KEw","Crazy Love","Van Morrison","Moondance (Expanded Edition)","1","3","155453","spotify:user:12478133","2016-09-28T03:49:15Z"
"spotify:track:67eX1ovaHyVPUinMHeUtIM","Hurts So Good","John Mellencamp","American Fool (Remastered)","1","1","218960","spotify:user:12478133","2016-09-28T03:50:19Z"
"spotify:track:44AyOl4qVkzS48vBsbNXaC","Can't Help Falling in Love","Elvis Presley","Blue Hawaii","1","5","179773","spotify:user:12478133","2016-09-28T03:51:04Z"
"spotify:track:01u6AEzGbGbQyYVdxajxqk","Don't Be Cruel","Elvis Presley","Elvis' Golden Records","1","8","122893","spotify:user:12478133","2016-09-28T03:51:53Z"
"spotify:track:5GMw6X6BbCDGO9gApQYRSa","You've Lost That Lovin' Feelin'","The Righteous Brothers","The Very Best Of The Righteous Brothers - Unchained Melody","1","1","225226","spotify:user:12478133","2016-09-28T03:52:53Z"
"spotify:track:4dGJf1SER1T6ooX46vwzRB","Chicken Fried","Zac Brown Band","The Foundation","1","6","238146","spotify:user:12478133","2016-09-28T03:53:31Z"
"spotify:track:1yEwEiTpsaPhQi9lb5EVV4","Knee Deep (feat. Jimmy Buffett)","Zac Brown Band, Jimmy Buffett","You Get What You Give (Deluxe)","1","2","203173","spotify:user:12478133","2016-09-28T03:54:22Z"
"spotify:track:5kjyiH6but1t2UDXq15aeS","Toes","Zac Brown Band","The Foundation","1","1","262773","spotify:user:12478133","2016-09-28T03:54:51Z"
